,【ベタ問】,
67,ミレトス学派の祖としても知られ、万物の根源は水であると説いた、古代ギリシャの哲学者は誰でしょう？,タレス
68,赤に対する青緑のように、色相環で相対し、混ぜると無彩色になる色を何というでしょう？,補色
69,「メモを取る」などという時の「メモ」とは何という言葉の略でしょう？,メモランダム
70,α細胞ではグルカゴン、β細胞ではインスリンを分泌する、膵臓の中の器官は何でしょう？,ランゲルハンス島
71,セスタというグローブを使ってペロタというボールを壁に打ち付ける、バスク語で「楽しい祭り」という意味があるスポーツは何でしょう？,ハイアライ
72,ドイツの地質学者・ナウマンが命名した、ラテン語で「大きな溝」という意味がある、本州の中央を南北に走る地質構造帯は何でしょう？,フォッサマグナ
73,主役級以外の役者がこれより前に出ないように、舞台上に引かれる線のことを何というでしょう？,コーラスライン
74,アップ、ダウン、トップ、ボトム、チャーム、ストレンジの6種類がある素粒子のグループの一つは何でしょう？,クォーク
75,「神聖ローマ帝国の死亡証明書」とも呼ばれる、1648年に締結された三十年戦争の講和条約は何でしょう？,ウェストファリア条約
76,名誉毀損罪や器物損壊罪がこれにあたる、公訴をするために告訴を必要とする犯罪のことを何というでしょう？,親告罪
77,一般に「日本三名園」といえば、水戸の偕楽園、金沢の兼六園と、岡山の何でしょう？,後楽園
78,ユーラシア大陸最北端の岬はチェリュスキン岬ですが、最南端の岬は何でしょう？,ピアイ岬(タンジュン・ピアイ)
79,「ここに地終わり海始まる」と書かれた石碑が立てられている、ユーラシア大陸最西端の岬は何でしょう？,ロカ岬
80,化学式C3H5N3O9で表される、アスカニオ・ソブレロが初めて合成した、ダイナマイトの爆薬として用いられる物質は何でしょう？,ニトログリセリン
81,正式名称を「特に水鳥の生息地として国際的に重要な湿地に関する条約」という条約を、締結されたイランの都市から何というでしょう？,ラムサール条約
82,フランス語で「新しい波」という意味がある、1950年代後半のフランスで始まった、新しい映画の傾向を何というでしょう？,ヌーベル・バーグ
83,4人の走者がそれぞれ100m、200m、300m、400mを走る、陸上のリレー競技の一種は何でしょう？,スウェーデンリレー
84,ツール・ド・フランスにおいて、個人総合戦績1位の選手に贈られる黄色のリーダージャージを何というでしょう？,マイヨジョーヌ
85,成人男性は40~50%、成人女性は35~45%が正常値とされる、血液中の血球の体積の割合を示す数値は何でしょう？,ヘマトクリット値
86,原子番号1番は水素、10番はネオンですが、100番は何でしょう？,フェルミウム
87,直線上を回転する円の円周上の定点が描く軌跡のことを何というでしょう？,サイクロイド
88,その融点は約3400度と金属の中で最も高いことから、おもにフィラメントに用いられる、原子番号74、元素記号Wで表される元素は何でしょう？,タングステン
89,デルタ航空、エールフランス、大韓航空などが加盟している、航空企業連合の1つは何でしょう？,スカイチーム
90,ギリシャ語で「すべての陸地」という意味がある、約2億年前まで存在したとされる超大陸は何でしょう？,パンゲア
91,チグリス川とユーフラテス川が合流してイランとイラクの国境地帯を流れペルシャ湾に注ぐ川は何でしょう？,シャトルアラブ川
92,黒、柿色、萌黄色の3色の縦じま模様が特徴的な、主に歌舞伎の舞台に用いられる幕は何でしょう？,定式幕（じょうしきまく）
93,「まっすぐな道でさみしい」「うしろすがたのしぐれてゆくか」「分け入っても分け入っても青い山」などの自由律俳句を残した、日本の俳人は誰でしょう？,種田山頭火
94,幅1.5m～2m、長さ14mと取り決められている、フェンシングにおける競技場のことを何というでしょう？,ピスト
95,アメリカの犯罪学者ジョージ・ケリングが提唱した、軽微な犯罪を徹底的に取り締まることで、重大な犯罪を抑止することができるという理論を何というでしょう？,割れ窓理論
96,フランシス・ベーコンが提唱した4つのイドラとは、劇場のイドラ、市場のイドラ、種族のイドラと何でしょう？,洞窟のイドラ
97,劇場において、舞台と客席の間に設けられたオーケストラ用の演奏場所を何というでしょう？,オーケストラピット
98,臓器移植において、臓器を提供する人をドナーといいますが、臓器提供を受ける人のことを何というでしょう？,レシピエント
99,兄ウィルバー、弟オービルからなる、世界で初めて飛行機を発明した兄弟は「何兄弟」でしょう？,ライト兄弟
100,1077年、神聖ローマ皇帝ハインリヒ4世が教皇グレゴリウス7世に屈服し、罷免を得た事件を、それが行われた場所から何というでしょう？,カノッサの屈辱
101,最高地点は標高1493メートルのフェルトベルク山である、ドイツ語で「黒い森」という意味がある山地は何でしょう？,シュバルツバルト
102,本名を橋岡まり子という、代表作に『OUT』や『柔らかな頬』があり、現在(2023年)は日本ペンクラブ会長を務めている小説家は誰でしょう？,桐野夏生(きりの・なつお)
103,日本語では「文民統制」という、日本国憲法第66条で定められている、文民が軍隊の最高指揮権を持つことを何というでしょう？,シビリアンコントロール
104,空が青く見えるのはこれが原因である、光が空気中を進むときに波長よりも小さい微粒子によって光が散乱する現象を何というでしょう？,レイリー散乱
105,本名を津島修治という、代表作に『桜桃』『斜陽』『人間失格』などがある日本の小説家は誰でしょう？,太宰治
106,「レム睡眠」や「ノンレム睡眠」などという時の「レム」とは、何という言葉の頭文字をとったものでしょう？,ラピッド・アイ・ムーブメント【rapid eye movement】
107,「世界三大劇場」といえば、パリのオペラ座、ミラノのスカラ座と、ブエノスアイレスの何でしょう？,コロン劇場
108,恋愛小説を書く時にはメアリ・ウェストマコットというペンネームを使っていた、代表作に『そして誰もいなくなった』『オリエント急行の殺人』などがあるのは誰でしょう？,アガサ・クリスティー
109,ベトナム語で「長い服」という意味がある、クワンというロングパンツと組み合わせて着られる、ベトナムの女性用民族衣装を何というでしょう？,アオザイ
110,化学式C8H7N3O2で表される、血液と反応して発光するため科学捜査などに用いられる試薬は何でしょう？,ルミノール
111,ストロンボリ式、ブルカノ式、ハワイ式などの種類がある、火山からマグマや火山灰が吹き出す火山活動の一種は何でしょう？,噴火
112,ロシア語の「自分で」と「沸かす」を合わせた造語である、ロシアで主に用いられる卓上湯沸かし器は何でしょう？,サモワール
113,西洋庭園でよく見られる、動物や幾何学模様の形に樹木を刈り込んだ造形物は何でしょう？,トピアリー
114,死者の生前の行動を映し出すとされる、地獄の閻魔大王が持っている鏡は何でしょう？,浄玻璃(じょうはり)の鏡
115,スペインの画家オスカー・ドミンゲスが創始した、ガラスなどの上に絵の具を塗り、その上から紙を押し当てて模様を写し取る方法を何というでしょう？,デカルコマニー
116,ロシア語で「立て直し」という意味がある、1985年からゴルバチョフによって推し進められた、ソビエト連邦の改革運動は何でしょう？,ペレストロイカ
117,「ラインの黄金」から「ラグナロク」までの四部からなる、バイロイト祝祭劇場で初演されたワーグナーの楽劇は何でしょう？,『ニーベルングの指環』
118,フランス語で「選別する」という意味がある、災害時に負傷者の傷の程度を判断し、治療の優先順位を決めることを何というでしょう？,トリアージ
119,ギリシャ語で、隠喩はメタファーといいますが、直喩は何というでしょう？,シミリー
120,「世界三大ブルーチーズ」といえば、イタリアのゴルゴンゾーラ、フランスのロックフォールとイギリスの何でしょう？,スティルトン
121,2進数で表すとレピュニットとなる、素数の中でも、特に2のべき乗から1を引いた形で表される素数のことを何というでしょう？,メルセンヌ素数
122,発見したアメリカの探検家の名前がつけられた、ベネズエラのカナイマ国立公園内に位置する、世界一の落差を持つ滝は何でしょう？,エンジェル・フォール
123,スイスの精神科医の名前が付けられた、左右対称なインクの染みを見せることで、被験者の人格を診断するテストは何でしょう？,ロールシャッハテスト
124,スペイン語で「征服者」という意味がある、16世紀ごろに中南米を征服したスペイン人を総称して何というでしょう？,コンキスタドール
125,『小人』から『キエフの大門』までの全10曲からなる、作者の友人ビクトル・ハルトマンの死を悼んで作られたムソルグスキーの組曲は何でしょう？,『展覧会の絵』
126,この値が大きいほど生活水準は低いとされる、家計に占める食費の割合を表した数値を何というでしょう？,エンゲル係数
127,中央気象台の第5代台長を務めた、2つの熱帯低気圧が近づいた際の相互効果に名前を残す、日本の気象学者は誰でしょう？,藤原咲平
128,テレビ番組において、VTRを見ている出演者を映す際などに使われる小窓のことを何というでしょう？,ワイプ
129,毛沢東やマリリン・モンローの顔を並べた作品を残し、「ポップアートの父」とも呼ばれる芸術家は誰でしょう？,アンディ・ウォーホル
130,リグ、サーマ、ヤジュル、アタルバという4つの種類がある、サンスクリットで「知識」という意味の言葉に由来するバラモン教の根本聖典は何でしょう？,ヴェーダ
131,初代台長をジョン・フラムスティードが務めた、かつて本初子午線の基準となっていた、ロンドンにある天文台は何でしょう？,グリニッジ天文台
132,同温、同圧、同体積のすべての気体に含まれる分子の数は同じであるという法則を、提唱したイタリアの化学者の名から何というでしょう？,アボガドロの法則
133,国家公務員の給料を100とし、地方公務員の給与水準を示した指数のことを何というでしょう？,ラスパイレス指数
134,グランドピアノに存在する3つのペダルとは、ダンパーペダル、シフトペダルと何でしょう？,ソステヌートペダル
135,フランス語で「新しい芸術」という意味がある、植物や昆虫などのモチーフが特徴的な芸術様式を何というでしょう？,アール・ヌーヴォー
136,鶏の腹に雪を詰めて冷凍の実験をしていた際に命を落とした、著書『ノヴム・オルガヌム』の中で４つのイドラを提唱した、イギリスの哲学者は誰でしょう？,フランシス・ベーコン
137,濃塩酸と濃硝酸を3対1の割合で混ぜた、金や白金などを溶かすことができる液体は何でしょう？,王水
138,別名を「下北砂丘」という、青森県の下北半島に位置する日本最大の砂丘は何でしょう？,猿ヶ森砂丘
139,あかい、丸い、大きい、うまいの頭文字をとって命名された、正式名称を「福岡S6号」という、福岡県のいちごの品種は何でしょう？,あまおう
140,国後島にある空港に名を残す、元素の分類について述べた著書『化学の原理』や、周期表を作成したことで知られるロシアの化学者は誰でしょう？,ドミトリ・メンデレーエフ
141,東京帝国大学の田原良純によって初めて単離された、フグの卵巣に含まれている猛毒成分は何でしょう？,テトロドトキシン
142,その中の一節「目には目を、歯には歯を」でも知られる、紀元前18世紀頃に作られた法典は何でしょう？,ハンムラビ法典
143,ギリシア神話の登場人物で、泉に映った自分の姿に見惚れ、スイセンとなって死んでしまったことから、「ナルシシズム」や「ナルシスト」の語源となったのは誰でしょう？,ナルキッソス
144,太陽面のフレアによって地球の電離層が異常電離を起こし、電波が吸収され短波の無線通信が妨げられる現象を、発見したアメリカの物理学者から何というでしょう？,デリンジャー現象
145,悪玉レスラーをルード、善玉レスラーをテクニコという、スペイン語で「自由な戦い」という意味がある、メキシコ式プロレスは何でしょう？,ルチャリブレ
146,政府、社会奉仕、社会指導などの6部門からなる「アジアのノーベル賞」とも呼ばれる賞は何でしょう？,マグサイサイ賞
147,法隆寺やパルテノン神殿の柱に見られる、円柱の下部から上部にかけて徐々に細くする建築方法を何というでしょう？,エンタシス
148,「日本四大奇書」といえば、夢野久作の『ドグラマグラ』、小栗虫太郎の『黒死館殺人事件』、中井英夫の『虚無への供物』と、竹本健治の何でしょう？,『匣(はこ)の中の失楽』
149,この数を素数と間違えた有名な数学者から「グロタンディーク素数」と呼ばれる数はいくつでしょう？,57
150,競歩のルールで、ひざを曲げて接地する反則を何というでしょう？,ベントニー
151,現存する日本の国立公園の中で、その名前にひらがなが含まれる2つとは、阿蘇くじゅう国立公園と何でしょう？,やんばる国立公園
152,シンガポールの４つの公用語とは、マレー語、中国語、英語と何でしょう？,タミル語
153,ナポレオン1世、フランツ2世、アレクサンドル1世が参戦したことから「三帝会戦」とも呼ばれる、1805年にフランス軍がオーストリア・ロシア連合軍を破った戦いは何でしょう？,アウステルリッツの戦い
154,1929年にはノーベル文学賞を受賞している、代表作に『ベニスに死す』や『魔の山』があるドイツの作家は誰でしょう？,トマス・マン
155,第一回三頭政治を行った3人の政治家とは、カエサル、ポンペイウスと誰でしょう？,クラッスス
156,「電磁誘導で発生する電流は、磁界の変化を妨げる方向に流れる」という法則を、発見したエストニアの物理学者から「何の法則」というでしょう？,レンツの法則
157,「飛んでいる矢は止まっている」「アキレスと亀」などのパラドックスで知られる、エレア学派の哲学者は誰でしょう？,ゼノン
158,かつて小さな花を飾るのに用いられていたためその名がつけられた、スーツなどの下襟に開いている穴を何というでしょう？,フラワーホール
159,化学反応に伴う反応熱は、その反応の始めと終わりの状態だけで決まり、その途中の道筋によらないという法則を何というでしょう？,ヘスの法則
160,フェンシングの種目であるエペ、フルーレ、サーブルのうち、攻撃権が生じず突きのみが有効で、全身が有効面となるのは何でしょう？,エペ
161,アフリカーンス語で「竜の山々」という意味がある、南アフリカ東部に位置する山脈は何でしょう？,ドラケンスバーグ山脈
162,パティシエの中でも、特に飴細工やジャム、砂糖菓子を扱う人を何というでしょう？,コンフィズール
163,「世界三大貴腐ワイン」とは、ハンガリーのトカイ、フランスのソーテルヌとドイツの何でしょう？,トロッケンベーレンアウスレーゼ
164,炭酸飲料用ペットボトルの底にある、花びらのような形をした突起のことを何というでしょう？,ペタロイド
165,ミラノや横浜で開催されるものが特に有名な、３年に１度開かれる美術展覧会を何というでしょう？,トリエンナーレ
166,その著書『歴史』の中で、「エジプトはナイルの賜物」と評した、「歴史の父」とも称される古代ギリシャの歴史家は誰でしょう？,ヘロドトス
167,その名は「リピーテッド・ユニット」の略である、1、11、111などのように、1を繰り返し並べてできる整数を何というでしょう？,レピュニット
168,ミレニアム懸賞問題のうち唯一解決されている、「単連結な3次元多様体は3次元球面と同相である」という予想を、提唱したフランスの数学者の名から何というでしょう？,ポアンカレ予想
169,「木曾路はすべて山の中である」という書き出しで始まる、主人公・青山半蔵の数奇な人生を描いた島崎藤村の小説は何でしょう？,『夜明け前』
170,ウニの口の部分にある、食べ物をかみ砕く器官のことを、それに関する記述をしたギリシャの哲学者の名から「誰のちょうちん」というでしょう？,アリストテレスのちょうちん
171,1095年、教皇ウルバヌス2世が主催し、聖職売買や聖職者妻帯を禁止した他、十字軍の派遣を呼びかけた公会議は何でしょう？,クレルモン公会議
172,北欧神話で、九つの世界を内包する世界樹とされるトネリコの木は何でしょう？,ユグドラシル
173,オランダ語で「海賊」という意味がある、牛歩戦術などで議会の進行を意図的に妨害することを何というでしょう？,フィリバスター
174,ラテン語で「鍵のかかった」という意味がある、バチカンのシスティーナ礼拝堂で行われる、新しいローマ教皇を選別するための会議は何でしょう？,コンクラーベ
175,屋根などの上に残った木屑を払い落とす行為に由来する、新たに建てられた劇場での初めての催しのことを何というでしょう？,杮(こけら)落とし
176,酸化鉄を主体とした触媒を用い、水素と窒素からアンモニアを生成する方法を、考案した二人の人物から何というでしょう？,ハーバー=ボッシュ法
177,日本の国道で、その総延長が最も長いのは4号線ですが、最も短いのは何でしょう？,174号線
178,カーテンと同じ布を用いるのが一般的な、カーテンを留めるためのバンドを何というでしょう？,タッセル
179,演劇で、昼間の興行をマチネーといいますが、夜間の興行を何というでしょう？,ソワレー
180,岡屋株式会社の登録商標である、ゴルフのスコアを記入する時に使われるプラスチック製の携帯用鉛筆は何でしょう？,ペグシル
181,英語では「fixed window」という、教会のステンドグラスなどのように、開閉することができない窓を何というでしょう？,はめ殺し
182,イギリスのイアン・マクロードが提唱した、経済が不況であるにもかかわらず物価が上昇し続ける現象を何というでしょう？,スタグフレーション
183,日本語では「試錐」などという、地質調査の際によく行われる、地面に細く深い穴を掘ることを何というでしょう？,ボーリング調査
184,アサリやシジミ、サンゴなどのように、地層が堆積した当時の環境を示す化石を何というでしょう？,示相化石
185,パティシエの中でも、特にアイスクリームなどの冷菓を扱う人を何というでしょう？,グラシエ
186,日本の「労働三法」に数えられる3つの法律とは、労働基準法、労働組合法と何でしょう？,労働関係調整法
187,囲炉裏やかまどなどで、火加減の調節ができるように鍋や鎌を吊るす道具のことを何というでしょう？,自在鉤
188,在庫変動に起因する、約40カ月周期の景気循環の波のことを何というでしょう？,キチンの波
189,本名をシャルル・エドゥアール・ジャンヌレという、代表作にサヴォワ邸、国立西洋美術館があり、「近代建築の三大巨匠」の一人に数えられるスイスの建築家は誰でしょう？,ル・コルビュジエ
190,スイスの４つの公用語とは、ドイツ語、フランス語、イタリア語と何でしょう？,ロマンシュ語
191,ドイツ語で、人が住める地域のことをエクメーネといいますが、人が住めない地域のことを何というでしょう？,アネクメーネ
192,カラカウア王によって建てられた、ホノルルにあるアメリカ唯一の宮殿は何でしょう？,イオラニ宮殿
193,攻撃側をレイダー、攻撃を受ける側をアンティという、攻撃側はある言葉を連呼しなければならないインドの国技は何でしょう？,カバディ
194,ケッヘル番号は525番である、ドイツ語で「1つの小さな夜の音楽」という意味がある、モーツァルトの代表曲は何でしょう？,アイネクライネナハトムジーク
195,弓道で矢を入れておく道具を矢筒といいますが、アーチェリーで矢を入れておく道具を何というでしょう？,クイーバー
196,目覚まし時計において、アラームの時間を設定するための小さい針のことを何というでしょう？,目安針
197,フランス語で「千枚の葉」という意味がある、重ねたパイ皮の間にクリームなどを挟んだ洋菓子は何でしょう？,ミルフィーユ
198,始祖鳥やアウストラロピテクスなどはかつてこれであった、生物の進化の過程で化石の存在は予測されるものの、いまだ発見されていないものを何というでしょう？,ミッシングリンク
199,雨上がりなどで濡れた道路を自動車で走行すると、タイヤと路面との間に水が入りハンドルやブレーキが利かなくなる現象を何というでしょう？,ハイドロプレーニング現象
200,和名を「ムラサキウマゴヤシ」という、スプラウトの状態でサラダなどに使用されるマメ科の一年草は何でしょう？,アルファルファ
201,アラビア語で「空白の地域」という意味がある、アラビア半島南部にある砂漠は何でしょう？,ルブアルハリ砂漠
202,日本語では「輪形彷徨(ほうこう)」といわれる、山での吹雪などによって方向感覚を失い、無意識に同心円を描くように彷徨(さまよ)い歩くことを何というでしょう？,リングワンデルング
203,マイケルソン・モーリーの実験で存在が否定された、かつて光を伝える媒体として宇宙を満たしていると考えられていた物質は何でしょう？,エーテル
204,オタマジャクシの尻尾などに代表される、予め遺伝子で決められた自発的な細胞死を何というでしょう？,アポトーシス
205,太陽光のもとでは緑色、白熱光のもとでは赤色に輝く、12月の誕生石にもなっている宝石は何でしょう？,アレキサンドライト
206,スコットランド民謡『オールド・ラング・サイン』を原曲とする、日本ではよく卒業式に歌われる曲は何でしょう？,『蛍の光』
207,酸素とオゾン、黒鉛とダイヤモンドのように、同種の元素からできているが、性質の異なる物質同士のことを何というでしょう？,同素体
208,「三次元代数多様体の極小モデルの存在証明」で日本人で３人目のフィールズ賞受賞者となった数学者は誰でしょう？,森重文（しげふみ）
209,イタリア語で「生クリームを煮たもの」という意味がある、生クリーム、砂糖などをゼラチンで固めた洋菓子は何でしょう？,パンナコッタ
210,チベット語で「五つの偉大な雪の宝庫」という意味がある、エベレスト、K2に次いで世界で3番目に高い山は何でしょう？,カンチェンジュンガ
211,鉄道のレールを枕木に固定するために打たれる釘を、ある動物の名を用いて何というでしょう？,犬釘
212,古ノルド語で「神々の黄昏」という意味がある、北欧神話における終末の日は何でしょう？,ラグナロク
213,これが存在する場合は他殺である可能性が高い、人間が縄で首を絞められたときに、縄を外そうとすることでできるひっかき傷のことを、これに注目した元鑑識課長の名前をとって何というでしょう？,吉川線
214,長さや温度、時間などのように、大きさは持つが向きは持たない数量のことを、「ベクトル」に対して何というでしょう？,スカラー
215,日本語では「画架」という、絵を描く時にキャンパスを乗せる台のことを、「ロバ」という意味のオランダ語で何というでしょう？,イーゼル
216,火を神聖視することから「拝火教」の別名を持つ、アフラ・マズダを主神とする宗教は何でしょう？,ゾロアスター教
217,アフリカ大陸で17もの独立国が誕生したことから「アフリカの年」と呼ばれる年は西暦何年でしょう？,1960年
218,ふすまの下にある溝つきの木材のことを敷居といいますが、ふすまの上にある溝つきの木材のことを何というでしょう？,鴨居
219,シュールレアリスムを代表するベルギーの画家で、代表作に『大家族』『光の帝国』があるのは誰でしょう？,ルネ・マグリット
220,目玉焼きの種類で、片面だけ焼いたものをサニーサイドアップといいますが、両面を焼いたものを何というでしょう？,ターンオーバー
221,「おい木村さん、信さん寄つてお出でよ。」という書き出しで始まる、1895年に発表された樋口一葉の小説は何でしょう？,『にごりえ』
